Date,Open,High,Low,Close,Volume,Adj Close
2009-10-02,66.97,67.14,66.50,66.58,20478900,65.77
2009-10-01,68.39,68.50,67.09,67.27,24927000,66.45
2009-09-30,68.98,69.24,68.04,68.61,27117400,67.77
2009-09-29,69.36,69.71,68.95,69.07,14695100,68.23
2009-09-28,68.81,69.85,68.64,69.59,13301600,68.74
2009-09-25,68.86,69.54,68.41,68.70,16454900,67.86
2009-09-24,69.00,69.36,68.35,68.93,21557000,68.09
2009-09-23,69.87,70.34,68.85,69.00,20898600,68.16
2009-09-22,70.03,70.14,69.70,69.83,14561800,68.98
2009-09-21,69.15,69.68,69.00,69.57,17984000,68.72
2009-09-18,70.27,70.48,69.68,69.99,43247900,69.13
2009-09-17,69.95,70.45,69.80,69.84,20986000,68.99
2009-09-16,69.86,70.38,69.18,70.34,22150400,69.48
2009-09-15,70.18,70.18,69.45,69.49,19475900,68.64
2009-09-14,69.11,70.29,69.04,70.00,17483100,69.14
2009-09-11,70.89,71.08,69.75,69.98,17468500,69.12
2009-09-10,70.83,71.04,70.40,70.65,19177600,69.79
2009-09-09,70.80,71.05,70.09,70.50,19652600,69.64
2009-09-08,69.85,70.97,69.70,70.65,21966000,69.79
2009-09-04,68.22,69.30,68.13,69.18,15156600,68.33
2009-09-03,68.47,68.65,67.83,68.26,15156000,67.43
2009-09-02,68.35,68.90,68.12,68.18,16315800,67.35
2009-09-01,68.93,69.50,68.11,68.41,24373900,67.57
2009-08-31,69.45,69.85,68.95,69.15,24337900,68.30
2009-08-28,71.20,71.20,69.95,70.12,17716500,69.26
2009-08-27,71.07,71.17,69.99,70.86,21395500,69.99
2009-08-26,70.05,71.47,69.90,71.37,18773100,70.50
2009-08-25,71.70,71.89,70.55,70.68,21183500,69.82
2009-08-24,70.04,71.65,69.93,71.30,25603700,70.43
2009-08-21,69.45,70.00,69.21,69.92,26166000,69.06
2009-08-20,68.09,68.78,67.87,68.59,17247200,67.75
2009-08-19,66.09,68.19,66.09,68.00,28432900,67.17
2009-08-18,66.70,66.81,66.26,66.49,21519700,65.68
2009-08-17,67.37,67.37,66.51,66.55,24332000,65.74
2009-08-14,68.52,68.66,67.65,68.21,19228000,67.38
2009-08-13,69.22,69.22,68.17,68.75,20235600,67.91
2009-08-12,68.23,69.55,68.15,69.11,19183400,68.26
2009-08-11,68.70,68.79,67.95,68.13,16947000,67.30
2009-08-10,69.12,69.71,69.03,69.18,16233400,67.92
2009-08-07,70.01,70.39,69.35,69.47,18041800,68.20
2009-08-06,70.01,70.03,69.41,69.73,17369900,68.46
2009-08-05,70.48,70.49,69.61,70.03,20348800,68.75
2009-08-04,70.25,70.64,70.00,70.60,18612000,69.31
2009-08-03,70.96,71.40,70.30,70.65,24756800,69.36
2009-07-31,70.36,70.50,69.43,70.39,28070600,69.11
